,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Cluster_Neighborhood,TotalSF,TotalBath,TotalPorchSF
0,1,60,RL,65.0,8450,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,Unf,0.0,150.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,No,Unavailable,Attchd,2003.0,RFn,2.0,548.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,2,2008,WD,Normal,4,2566.0,4.0,61
1,2,20,RL,80.0,9600,Pave,Unavailable,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,Unf,0.0,284.0,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,Yes,TA,Attchd,1976.0,RFn,2.0,460.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,5,2007,WD,Normal,3,2524.0,3.0,298
2,3,60,RL,68.0,11250,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,Unf,0.0,434.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,Yes,TA,Attchd,2001.0,RFn,2.0,608.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,9,2008,WD,Normal,4,2706.0,4.0,42
3,4,70,RL,60.0,9550,Pave,Unavailable,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0.0,540.0,GasA,Gd,Y,SBrkr,0,3,1,Gd,7,Typ,Yes,Gd,Detchd,1998.0,Unf,3.0,642.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,2,2006,WD,Abnorml,2,2473.0,2.0,307
4,5,60,RL,84.0,14260,Pave,Unavailable,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,490.0,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,Yes,TA,Attchd,2000.0,RFn,3.0,836.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,12,2008,WD,Normal,5,3343.0,4.0,276
5,6,50,RL,85.0,14115,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732.0,Unf,0.0,64.0,GasA,Ex,Y,SBrkr,0,1,1,TA,5,Typ,No,Unavailable,Attchd,1993.0,Unf,2.0,480.0,TA,TA,Y,No,Unavailable,MnPrv,Shed,700,10,2009,WD,Normal,3,2158.0,3.0,390
6,7,20,RL,75.0,10084,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0.0,317.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,Yes,Gd,Attchd,2004.0,RFn,2.0,636.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,8,2007,WD,Normal,4,3380.0,3.0,312
7,8,60,RL,80.0,10382,Pave,Unavailable,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,GasA,Ex,Y,SBrkr,0,3,1,TA,7,Typ,Yes,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,No,Unavailable,Unavailable,Shed,350,11,2009,WD,Normal,4,3197.0,4.0,667
8,9,50,RM,51.0,6120,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,952.0,GasA,Gd,Y,FuseF,0,2,2,TA,8,Min1,Yes,TA,Detchd,1931.0,Unf,2.0,468.0,Fa,TA,Y,No,Unavailable,Unavailable,Unavailable,0,4,2008,WD,Abnorml,2,2726.0,2.0,295
9,10,190,RL,50.0,7420,Pave,Unavailable,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,140.0,GasA,Ex,Y,SBrkr,0,2,2,TA,5,Typ,Yes,TA,Attchd,1939.0,RFn,1.0,205.0,Gd,TA,Y,No,Unavailable,Unavailable,Unavailable,0,1,2008,WD,Normal,5,2068.0,2.0,4
10,11,20,RL,70.0,11200,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,GasA,Ex,Y,SBrkr,0,3,1,TA,5,Typ,No,Unavailable,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,2,2008,WD,Normal,3,2080.0,2.0,0
11,12,60,RL,85.0,11924,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0.0,177.0,GasA,Ex,Y,SBrkr,0,4,1,Ex,11,Typ,Yes,Gd,BuiltIn,2005.0,Fin,3.0,736.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,7,2006,New,Partial,5,3499.0,4.0,168
12,13,20,RL,72.0,12968,Pave,Unavailable,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0.0,175.0,GasA,TA,Y,SBrkr,0,2,1,TA,4,Typ,No,Unavailable,Detchd,1962.0,Unf,1.0,352.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,9,2008,WD,Normal,3,1824.0,2.0,316
13,14,20,RL,91.0,10652,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,Yes,Gd,Attchd,2006.0,RFn,3.0,840.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,8,2007,New,Partial,4,2988.0,2.0,193
14,15,20,RL,73.0,10920,Pave,Unavailable,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520.0,GasA,TA,Y,SBrkr,0,2,1,TA,5,Typ,Yes,Fa,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,No,Unavailable,GdWo,Unavailable,0,5,2008,WD,Normal,5,2506.0,3.0,389
15,16,45,RM,51.0,6120,Pave,Unavailable,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832.0,GasA,Ex,Y,FuseA,0,2,1,TA,5,Typ,No,Unavailable,Detchd,1991.0,Unf,2.0,576.0,TA,TA,Y,No,Unavailable,GdPrv,Unavailable,0,7,2007,WD,Normal,5,1686.0,1.0,160
16,17,20,RL,73.0,11241,Pave,Unavailable,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,GasA,Ex,Y,SBrkr,0,2,1,TA,5,Typ,Yes,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,No,Unavailable,Unavailable,Shed,700,3,2010,WD,Normal,5,2008.0,2.0,0
17,18,90,RL,72.0,10791,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,Unavailable,Unavailable,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,GasA,TA,Y,SBrkr,0,2,2,TA,6,Typ,No,Unavailable,CarPort,1967.0,Unf,2.0,516.0,TA,TA,Y,No,Unavailable,Unavailable,Shed,500,10,2006,WD,Normal,3,1296.0,2.0,0
18,19,20,RL,66.0,13695,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0.0,468.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,No,Unavailable,Detchd,2004.0,Unf,2.0,576.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,6,2008,WD,Normal,3,2228.0,3.0,102
19,20,20,RL,70.0,7560,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0.0,525.0,GasA,TA,Y,SBrkr,0,3,1,TA,6,Min1,No,Unavailable,Attchd,1958.0,Unf,1.0,294.0,TA,TA,Y,No,Unavailable,MnPrv,Unavailable,0,5,2009,COD,Abnorml,5,2368.0,1.0,0
20,21,60,RL,101.0,14215,Pave,Unavailable,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,Yes,Gd,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,11,2006,New,Partial,5,3534.0,4.0,394
